OBJECTID,COMPKEY,STNAME_ORD,FLOWSEGID,DOWNTOWN,START_DATE,AMPK,PMPK,AWDT,ADT,AWDT_ROUNDED,DATAQUALITY,FLAGS,SHAPE_Length
486,1010,1ST AVE,805,Y,1970/01/01 00:00:00+00,,,17000,,17000,Estimate,,197.528634580487
487,13221,UNIVERSITY WAY NE,1443,N,1970/01/01 00:00:00+00,,,7500,,7500,Estimate,,537.838836747016
488,"9246,9247",BELMONT AVE E,1189,N,1970/01/01 00:00:00+00,,,11000,,11000,Estimate,,514.750293032907
489,"19651,19650,19649",S CLOVERDALE ST,29,N,2015/01/29 00:00:00+00,,,11048,9766,11000,Study - 13-15,,1977.81987709379
490,"11143,11141,11140,11142,12624","LAKE CITY WAY NE,ROOSEVELT WAY NE",1715,N,2018/03/23 00:00:00+00,348,307,3975,3830,3900,Study(Normalized),,1466.39895693854
491,"2156,2157,2155,2154",15TH AVE S,347,N,2015/05/07 00:00:00+00,,,20958,20555,21000,Study - 13-15,,1763.85739815774
492,"1026,1028,1025,1027,1029",1ST AVE N,1135,N,2015/01/06 00:00:00+00,,,7879,7847,7900,Study - 13-15,,2179.93668388099
493,"8727,8725,8726,269161",ALASKAN WAY,800,Y,2018/07/17 00:00:00+00,684,825,9821,9713,9500,Study(Normalized),,1245.14494107763
494,1852,14TH AVE,954,N,2018/05/08 00:00:00+00,363,414,5131,5070,4700,Study(Normalized),,423.098274317198
495,"3457,3456",23RD AVE S,476,N,2018/10/09 00:00:00+00,727,676,8203,7976,8200,Study(Normalized),,582.368686560952
496,20298,S HOLDEN ST,149,N,1970/01/01 00:00:00+00,,,21500,,21500,Estimate,WSDOT,327.231628438285
497,"13532,13535,13533,13534",WESTLAKE AVE N,1114,N,1970/01/01 00:00:00+00,,,9000,,9000,Estimate,,1705.26284046795
498,8654,AIRPORT WAY S,531,N,2017/10/03 10:15:00+00,1133,1159,12222,11705,12200,Study,,350.383437840561
499,"5368,5366,5367,5364,5363,5365",35TH AVE NE,1764,N,2015/07/20 00:00:00+00,,,13753,12660,13800,Study - 13-15,,2610.46189106223
500,"8685,8688,8687,8710,8686,8689,8684",AIRPORT WAY S,324,N,2014/06/03 00:00:00+00,,,17156,14265,17200,Study - 13-15,,4176.0668781259
501,"11762,11764,11766,11763,11765",MERCER ST,1136,N,1970/01/01 00:00:00+00,,,21000,,21000,Estimate,,1931.59746922708
502,"12616,12619,12617,12618,12615",ROOSEVELT WAY NE,25,N,2017/11/28 10:30:00+00,943,942,11330,10823,11300,Study,,1328.13164449962
503,"12691,12690,338277",ROY ST,1150,N,2018/10/31 00:00:00+00,237,393,3192,3014,3200,Study(Normalized),,642.865136279045
504,"16837,16836,16835,5353,5354,5352","NE 45TH PL,35TH AVE NE",1547,N,1970/01/01 00:00:00+00,,,8500,,8500,Estimate,,2984.30540987533
505,"15793,15794,15792,15789,15791,15790",N 65TH ST,1643,N,2015/09/02 00:00:00+00,,,7912,7290,7900,Study - 13-15,,1491.99876057595
506,8284,8TH AVE,997,Y,2018/03/13 00:00:00+00,541,590,5927,5131,5800,Study(Normalized),,425.718185409309
507,10184,EASTLAKE AVE E,1963,N,1970/01/01 00:00:00+00,,,26000,,26000,Estimate,,435.906258898525
508,9661,CHERRY ST,648,Y,2018/07/24 00:00:00+00,249,461,4050,3908,3900,Study(Normalized),,322.062677792867
509,12204,PIKE ST,854,Y,2018/09/13 00:00:00+00,456,842,8919,8652,9400,Study(Normalized),,322.081672724847
510,16734,NE 40TH ST,1367,N,2018/05/24 00:00:00+00,140,183,2070,1883,1900,Study(Normalized),,285.017424278208
511,"7980,7981,7982",6TH AVE S,602,Y,1970/01/01 00:00:00+00,,,6000,,6000,Estimate,,918.195235187375
512,11067,JEFFERSON ST,706,B,2018/09/25 00:00:00+00,406,407,6019,5443,6300,Study(Normalized),,321.638585803144
513,7235,5TH AVE,813,Y,2015/07/08 00:00:00+00,,,8285,8120,8300,Study - 13-15,,425.76049770273
514,"11161,11160,615986,11162",LAKE CITY WAY NE,1828,N,1970/01/01 00:00:00+00,,,35500,,35500,Estimate,,1653.83714247394
515,7893,6TH AVE,1027,Y,2018/03/13 00:00:00+00,183,318,3153,2846,3100,Study(Normalized),,306.918633432399
516,"269147,269638,269430,269433,269431,269432",BEACON AVE S,125,N,2017/12/20 09:00:00+00,144,206,2366,2262,2400,Study,Combined,2039.61376665784
517,"9351,9357,9352,9359,9358,9356,9355,9353,9354",BOYER AVE E,1227,N,2017/11/29 08:15:00+00,1566,1470,15006,13869,15000,Study,,2762.53983850896
518,"7697,7698,7696,17546,17550,17539,17544,17549,17542,17540,17538,17541,17543,17545,17547,17548","55TH AVE NE,NE 75TH ST",1698,N,2017/10/17 12:30:00+00,499,499,5559,5545,5600,Study,,5302.40631206768
519,"20595,20596,20594",S KING ST,549,N,1970/01/01 00:00:00+00,,,5000,,5000,Estimate,,644.034747257114
520,"21314,21315",S SPOKANE ST,395,N,2015/08/20 00:00:00+00,,,11433,10057,11400,Study - 13-15,,1257.75867750352
521,"19831,19829,19836,19835,19830,19833,19834,19832",S DEARBORN ST,538,N,2015/04/01 00:00:00+00,,,22372,21052,22400,Study - 13-15,,3020.20944159067
522,21060,S OTHELLO ST,172,N,2018/01/18 10:45:00+00,342,300,3692,3404,3700,Study,,742.13298098727
523,"1591,1590",12TH AVE NE,1716,N,2018/03/23 00:00:00+00,208,539,3982,3789,3900,Study(Normalized),,839.659952944192
524,"15898,15900,15899,15897",N 80TH ST,1743,N,2018/02/01 08:00:00+00,786,928,11258,10937,11300,Study,,997.612165888037
525,"8410,8408,8411,8407,8409",8TH AVE NW,1780,N,2018/05/23 00:00:00+00,959,1173,12855,11994,11800,Study(Normalized),,1356.58507272501
526,"2344,2347,2346,2340,2345,2341,2343,2342",16TH AVE SW,144,N,2017/12/13 07:30:00+00,395,497,5695,5433,5700,Study,,3943.28036868908
527,1651,12TH AVE S,596,N,2018/10/04 00:00:00+00,1668,2162,26343,23388,26300,Study(Normalized),,309.902351694414
528,"13812,13813,13814",E ALOHA ST,1179,N,2015/07/20 00:00:00+00,,,8392,7927,8400,Study - 13-15,,870.3606592182
529,10075,DEXTER AVE N,1129,N,2014/01/23 00:00:00+00,,,14445,13037,14400,Study - 13-15,,483.678633995739
530,"13948,13949,13950,13947,13951",E DENNY WAY,1045,B,1970/01/01 00:00:00+00,,,9500,,9500,Estimate,,1203.2153728885
531,12479,RAVENNA AVE NE,1810,N,2018/10/11 00:00:00+00,72,56,615,560,600,Study(Normalized),,1402.36272834162
532,13315,VIRGINIA ST,944,Y,1970/01/01 00:00:00+00,,,8000,,8000,Estimate,,213.453983542827
533,12219,PINE ST,859,Y,1970/01/01 00:00:00+00,,,10000,,10000,Estimate,,322.030508944151
534,11667,MARION ST,713,Y,2018/09/13 00:00:00+00,842,981,12526,11623,13200,Study(Normalized),,321.121353006107
535,"9836,9835,9834,9833",CORSON AVE S,231,N,2015/07/29 00:00:00+00,,,8283,7008,8300,Study - 13-15,,2609.23123046448
536,14415,EAST MARGINAL WAY S,188,N,2015/10/01 00:00:00+00,,,20907,16711,20900,Study - 13-15,,424.442746284961
537,2897,2ND AVE SW,186,N,1970/01/01 00:00:00+00,,,13000,,13000,Estimate,,629.355412409088
538,"2187,2188,2186,2189,2184,2185,2190",15TH AVE W,14,N,2015/06/16 00:00:00+00,,,43705,20732,43700,Study - 13-15,,3264.98528884187
539,7877,6TH AVE,746,Y,2018/07/26 00:00:00+00,1003,933,14446,13495,14000,Study(Normalized),,306.058689616366
540,6230,4TH AVE S,550,N,2015/03/12 00:00:00+00,,,26803,24103,26800,Study - 13-15,,706.793118742346
541,"21309,21308",S SPOKANE ST,2019,N,2015/04/03 00:00:00+00,,,6830,5509,6800,Study - 13-15,,1118.4713545555
542,12710,SAND POINT WAY NE,1542,N,1970/01/01 00:00:00+00,,,19000,,19000,Estimate,,391.478180781751
543,"18980,18983,18985,18981,18984,18982",NW 85TH ST,1786,N,2017/10/24 13:30:00+00,257,428,4251,4227,4300,Study,,1330.49612488067
544,21220,S ROYAL BROUGHAM WAY,523,N,2017/09/20 09:15:00+00,486,362,4488,3873,4500,Study,,312.926756533026
545,"1221,1225,1224,1222,1223",1ST AVE S,271,N,2015/08/18 00:00:00+00,,,29707,25519,29700,Study - 13-15,,1881.08324343105
546,"12049,12050,12051",OLIVE WAY,998,B,2018/09/13 00:00:00+00,646,1065,11948,11465,12600,Study(Normalized),,826.323277171793
547,10897,HIGHLAND PARK WAY SW,197,N,1970/01/01 00:00:00+00,,,25000,,25000,Estimate,,1275.83694390621
548,"18960,18959",NW 85TH ST,1781,N,1970/01/01 00:00:00+00,,,17500,,17500,Estimate,,1316.56047274296
549,"19667,19664,19665,19662,19663,19666",S CLOVERDALE ST,121,N,2018/01/18 12:00:00+00,364,382,4206,4034,4200,Study,,1720.22267286733
550,2478,17TH AVE S,445,N,2018/03/29 00:00:00+00,365,375,3667,3324,3600,Study(Normalized),,326.50822700886
551,13327,WEST SEATTLE BR EB,2027,N,1970/01/01 00:00:00+00,,,35000,,35000,Estimate,,1423.83898639756
552,"20507,20509,20508,20506,20505",S JACKSON ST,553,N,1970/01/01 00:00:00+00,,,6500,,6500,Estimate,,1192.44597358509
553,"16861,16860",NE 45TH ST,1435,N,1970/01/01 00:00:00+00,,,18000,,18000,Estimate,,1770.44659076307
554,"3600,3604,3602,3605,3601,3603",24TH AVE NW,1756,N,2013/01/31 00:00:00+00,,,11960,11349,12000,Study - 13-15,,3959.42982338338
555,9659,CHERRY ST,630,Y,2018/06/05 00:00:00+00,138,270,2382,2276,2300,Study(Normalized),,321.690514825524
556,11166,LAKE CITY WAY NE,1857,N,1970/01/01 00:00:00+00,,,45000,,45000,Estimate,,637.939380114678
557,12044,OLIVE WAY,898,Y,1970/01/01 00:00:00+00,,,12500,,12500,Estimate,,321.963324157501
558,"13171,13172,13170,13169,3615,3614,3616,4164,4173,4166,4169,4171,4174,4165,4167,4172,4170,4168,19245","TRITON DR NW,24TH AVE NW,28TH AVE NW,NW NEPTUNE PL",1818,N,2017/12/12 13:00:00+00,88,100,1079,1043,1100,Study,,5673.41568900708
559,7230,5TH AVE,735,Y,2018/05/17 00:00:00+00,679,983,12077,11520,11100,Study(Normalized),,306.117798024349
560,21128,S PRENTICE ST,47,N,1970/01/01 00:00:00+00,,,400,,400,Estimate,,151.364787138426
561,8648,SW ADMIRAL WY OFF RP,5,N,2015/04/07 00:00:00+00,,,8535,8164,8500,Study - 13-15,,1137.08140384123
562,"10206,10205,10207,10208",ELLIOTT AVE,980,Y,1970/01/01 00:00:00+00,,,15000,,15000,Estimate,,1231.17570248973
563,23422,W HARRISON ST,1105,N,2018/10/31 00:00:00+00,230,225,2597,2379,2600,Study(Normalized),,322.030855694935
564,"13848,13849",E BLAINE ST,1208,N,2018/04/05 00:00:00+00,80,87,1034,990,1100,Study(Normalized),,672.090340320192
565,"10023,13945","DENNY WAY,E DENNY WAY",1035,B,2015/07/31 00:00:00+00,,,22541,22292,22500,Study - 13-15,,987.542205533887
566,8276,8TH AVE,770,Y,2018/08/08 00:00:00+00,322,326,4158,3976,4200,Study(Normalized),,306.076154744133
567,"19644,1235","S CLOVERDALE ST,1ST AVE S",1938,N,2018/04/18 00:00:00+00,1296,1418,17614,16370,18100,Study(Normalized),,1293.05107319372
568,"13391,16035","WALLINGFORD AVE N,N 92ND ST",1799,N,2018/05/24 00:00:00+00,704,979,10345,9413,9500,Study(Normalized),,1027.06383813276
569,"18120,18142,18113,18112,18114","NW 100TH ST,NW 103RD ST,NW 100TH PL",1827,N,2018/01/08 09:30:00+00,586,807,7477,6981,7500,Study,,1563.54560690001
570,511164,3RD AVE NE,1822,N,2018/10/11 00:00:00+00,218,283,3418,3138,3400,Study(Normalized),,662.412620191468
571,"21460,21458,21459",S WALKER ST,473,N,2017/11/15 10:30:00+00,158,197,2398,2344,2400,Study,,1000.518303031
572,"8974,8978,8979,8984,8982,8983,8969,8971,8973,8977,8975,8976,8980,8981,8970,8972",AURORA AVE N,1829,N,2015/11/18 00:00:00+00,,,37401,35129,37400,Study - 13-15,,3963.51199977935
573,"5481,5482",35TH AVE SW,117,N,2018/02/27 10:00:00+00,1372,1525,18193,17530,18200,Study,,1306.99491460755
574,"19682,19681",S COLLEGE ST,467,N,2018/10/09 00:00:00+00,358,503,5054,4934,5100,Study(Normalized),,300.364916181008
575,17383,NE 70TH ST,1945,N,1970/01/01 00:00:00+00,,,3500,,3500,Estimate,,430.11334399872
576,"12559,12560",REPUBLICAN ST,1119,N,2018/10/10 00:00:00+00,215,280,2523,2406,2500,Study(Normalized),,643.649303976415
577,"9054,9053,9056,9055,17504,17505","BANNER WAY NE,NE 75TH ST",1714,N,2015/07/15 00:00:00+00,,,18100,17156,18100,Study - 13-15,,1393.28890938402
578,"10642,336163,10640,10643,10644,10641,10638,10639,23388,23386,23385,23384,23387,23383","GILMAN AVE W,W GOVERNMENT WAY",1466,N,2015/07/30 00:00:00+00,,,10843,10490,10800,Study - 13-15,,4107.47146181747
579,"21329,21328",S SPOKANE ST,380,N,2014/09/25 00:00:00+00,,,9617,8377,9600,Study - 13-15,,1262.99014567107
580,"15012,15018,15016,15017,15014,15013,15015",N 105TH ST,1830,N,2015/09/01 00:00:00+00,,,22508,21479,22500,Study - 13-15,,1986.74418428808
581,"1280,1278,1277,1279,12882","1ST AV S BR SB,SR509 SB",20,N,2015/09/03 00:00:00+00,,,30110,29141,30100,Study - 13-15,WSDOT,4874.30706229602
582,"14518,14517",EAST MONTLAKE PL E,1270,N,1970/01/01 00:00:00+00,,,24500,,24500,Estimate,,390.583616669332
583,7883,6TH AVE,845,Y,2014/07/09 00:00:00+00,,,7820,7452,7800,Study - 13-15,,426.368988516556
584,1737,13TH AVE,884,N,2018/10/30 00:00:00+00,504,269,4151,4021,4200,Study(Normalized),,163.003518472361
585,"11579,11578",MADISON ST,657,Y,2018/10/16 00:00:00+00,260,289,3884,4006,3900,Study(Normalized),,311.774330437425
586,"4830,4832,4835,4841,4831,4842,4845,4834,4843,4838,4840,4833,4829,4828,4836,4837,4847,4839,4846,4844",31ST AVE S,551,N,2015/03/09 00:00:00+00,,,4975,4522,5000,Study - 13-15,,7702.37029502384
587,8717,ALASKAN WAY,622,Y,2018/07/17 00:00:00+00,1022,1033,14054,13584,13600,Study(Normalized),,268.841476751072
588,"4456,4455,4454",3RD AVE NW,1581,N,2018/02/01 12:00:00+00,662,545,5722,5528,5700,Study,,914.643311808217
589,13506,WESTERN AVE,827,Y,1970/01/01 00:00:00+00,,,9000,,9000,Estimate,,424.559161972417
590,9994,DELRIDGE WAY SW,79,N,2018/01/24 10:45:00+00,426,497,6530,6307,6500,Study,,632.63970716939
591,11519,M L KING JR WAY S,435,N,2013/05/21 00:00:00+00,,,9795,9069,9800,Study - 13-15,,741.752249135072
592,12046,OLIVE WAY,936,Y,1970/01/01 00:00:00+00,,,9000,,9000,Estimate,,322.075873864386
593,"7246,7245,7244",5TH AVE,1005,Y,2015/03/03 00:00:00+00,,,9433,8680,9400,Study - 13-15,,1278.37618559952
594,"11774,11773,11775",MERCER ST,1125,N,2018/12/01 00:00:00+00,,,60627,59244,58700,Study(Normalized),,1026.73867925385
595,13316,VIRGINIA ST,960,Y,1970/01/01 00:00:00+00,,,7000,,7000,Estimate,,108.889549245182
596,10238,EMERSON NICKERSON RP,1358,N,2018/07/19 00:00:00+00,849,522,7625,7232,7400,Study(Normalized),,283.420335833399
597,"21819,21815,21817,21816,21818",SW AVALON WAY,364,N,2015/05/28 00:00:00+00,,,14767,14012,14800,Study - 13-15,,2296.26858693572
598,8281,8TH AVE,923,Y,2018/09/13 00:00:00+00,547,734,7248,6779,7600,Study(Normalized),,425.767214160037
599,"2012,2010,2008,2011,2009,2013,2005,2004,2007,2006",15TH AVE E,1175,N,2017/08/31 09:00:00+00,609,753,9334,8762,9300,Study,,2325.81919498367
600,13062,SYLVAN WAY SW,179,N,2017/10/26 11:00:00+00,431,409,4862,4718,4900,Study,,443.207592049771
601,"2961,2960",20TH AVE NE,1497,N,2018/01/31 11:15:00+00,149,283,3090,3102,3100,Study,,1312.14582618787
602,14341,E MADISON ST,865,N,2018/02/13 09:00:00+00,1383,1450,20452,19394,20500,Study,,404.219181488868
603,"9969,9965,9971,9964,9967,9977,9975,9973,9976,9970,9972,9966,9968,9963",DELRIDGE WAY SW,310,N,2015/08/10 00:00:00+00,,,19876,18890,19900,Study - 13-15,,9225.01224903596
604,16119,N NORTHGATE WAY,1950,N,2018/10/20 00:00:00+00,2362,2535,37318,36394,37300,Study(Normalized),,659.697231343987
605,3369,23RD AVE E,1087,N,1970/01/01 00:00:00+00,,,15500,,15500,Estimate,,378.269400913491
606,1536,12TH AVE,911,N,2018/10/30 00:00:00+00,832,882,12182,12100,12200,Study(Normalized),,443.739713346989
607,17506,NE 75TH ST,1712,N,2015/07/21 00:00:00+00,,,24222,24160,24200,Study - 13-15,,269.1511471662
608,"11591,11590",MADISON ST,782,Y,2015/10/19 00:00:00+00,,,21090,20281,21100,Study - 13-15,,644.444747011005
609,"23570,23571",W MCGRAW ST,1248,N,1970/01/01 00:00:00+00,,,6000,,6000,Estimate,,656.496947445425
610,490707,EAST MARGINAL WAY S,350,N,1970/01/01 00:00:00+00,,,15000,,15000,Estimate,,890.923926486594
611,"17269,17270,17266,17268,17267",NE 65TH ST,1624,N,2017/11/03 14:00:00+00,1338,1510,17759,17584,17800,Study,,1333.03776026346
612,"10405,10401,10400,10409,10408,10402,274463,10407,10403,10410,10406,10404",FAUNTLEROY WAY SW,211,N,2017/10/26 11:30:00+00,658,879,10467,10390,10500,Study,,3878.65766514109
613,"2194,2195",15TH AVE W,1986,N,1970/01/01 00:00:00+00,,,51500,,51500,Estimate,,762.676521269282
614,"19225,19224,19223",NW MARKET ST,1562,N,2014/01/08 00:00:00+00,,,20373,20277,20400,Study - 13-15,,1825.89583585213
615,10335,FAIRVIEW AVE,1040,B,2018/06/21 00:00:00+00,1044,915,13335,12292,13000,Study(Normalized),,242.852135173566
616,12773,SENECA ST,741,Y,2018/06/14 00:00:00+00,469,304,4777,4618,4700,Study(Normalized),,322.090264244822
617,"493217,486180,22520,22521","SW SPOKANE ST,SW KLICKITAT WAY",399,N,2015/04/03 00:00:00+00,,,7674,6170,7700,Study - 13-15,,1888.81039062927
618,"23222,23221,23220",W DRAVUS ST,1296,N,2014/08/05 00:00:00+00,,,21077,20275,21100,Study - 13-15,,1287.1987273817
619,"5329,5330,5328",34TH AVE W,1427,N,2018/01/05 10:30:00+00,436,517,5949,5706,5900,Study,,1915.27421460479
620,"23610,269718","W NICKERSON ST,NICKERSON ST",1314,N,2017/11/01 11:00:00+00,965,1501,16523,15256,16500,Study,,573.788918233138
621,"15890,18886","N 80TH ST,NW 80TH ST",1751,N,2018/02/01 08:15:00+00,965,1152,14341,13895,14300,Study,,1317.81123494289
622,"14604,14603",E PIKE ST,912,N,2018/01/23 15:45:00+00,360,455,5670,5658,5700,Study,,644.23721406976
623,20209,S HARDY ST,222,N,2017/12/11 10:45:00+00,434,424,4581,3973,4600,Study,,275.402657656938
624,9477,BROOKLYN AVE NE,1402,N,1970/01/01 00:00:00+00,,,6000,,6000,Estimate,,82.2516695285442
625,"575310,23527",WEST MARGINAL WAY SW,413,N,1970/01/01 00:00:00+00,,,1300,,1300,Estimate,,995.738231625566
626,2761,2ND AVE,862,Y,2018/08/16 00:00:00+00,1047,883,11591,10891,11600,Study(Normalized),,425.984365588345
627,"2524,2525",17TH AVE NE,1500,N,2018/05/31 00:00:00+00,163,159,2126,2056,2000,Study(Normalized),,1319.63066518125
628,2754,2ND AVE,724,Y,1970/01/01 00:00:00+00,,,20000,,20000,Estimate,,305.907452987886
629,12205,PIKE ST,877,Y,2015/03/05 00:00:00+00,,,12115,11883,12100,Study - 13-15,,322.022568995639
630,13343,WEST SEATTLE BR WB,2015,N,1970/01/01 00:00:00+00,,,36000,,36000,Estimate,,2047.63751162574
631,4376,3RD AVE,656,Y,2017/09/18 10:15:00+00,539,463,6266,5850,6300,Study,,305.88631484865
632,9322,BOREN AVE,1003,B,2017/10/04 13:00:00+00,2175,1668,25275,24170,25300,Study,,427.460349269711
633,"17439,17380","NE 71ST ST,NE 70TH ST",1688,N,2018/06/14 00:00:00+00,695,771,9330,8923,9100,Study(Normalized),,822.071050255311
634,11769,MERCER ST,1130,N,1970/01/01 00:00:00+00,,,35000,,35000,Estimate,,322.03158583966
635,"1576,1575,1578,1577,1579",12TH AVE NE,1625,N,2017/08/23 11:00:00+00,329,715,5447,5031,5400,Study,,1437.07733171859
636,"19660,19661",S CLOVERDALE ST,124,N,2018/01/18 12:00:00+00,365,529,5107,4851,5100,Study,,512.042392588931
637,"14063,14065,14064,14066,14062,14061,14067,14060",EAST GREEN LAKE DR N,1719,N,2015/08/14 00:00:00+00,,,13036,12425,13000,Study - 13-15,,2749.00607756557
638,"18079,18078",NE RAVENNA BLVD,1557,N,2018/03/26 00:00:00+00,334,417,4730,4532,4600,Study(Normalized),,627.17994062585
639,"20501,20500,510318",S JACKSON ST,557,N,2015/05/08 00:00:00+00,,,9157,8697,9200,Study - 13-15,,1017.39616162496
640,"352719,11523,484871,11528,352636,484892,352777,352479,11525,352481,352478,11527,484893",M L KING JR WAY S,420,N,2018/10/01 00:00:00+00,,,20382,21592,28500,Study(Normalized),Combined,4787.56309449396
641,6170,4TH AVE N,1280,N,1970/01/01 00:00:00+00,,,21000,,21000,Estimate,,267.626346050676
642,4516,3RD AVE S,575,Y,1970/01/01 00:00:00+00,,,1000,,1000,Estimate,,289.588237365439
643,"13895,13897,13894,13893,13892,13896,13898",E CHERRY ST,744,N,2015/05/08 00:00:00+00,,,8689,8029,8700,Study - 13-15,,1607.27199108113
644,"22753,22752,22749,22751,22750",SW ROXBURY ST,2007,N,2017/07/24 10:45:00+00,1598,2025,27843,26724,27800,Study,,1307.86785636072
645,"10353,10354,10355,10358,10356,10357",FAIRVIEW AVE N,1194,N,2014/10/29 00:00:00+00,,,8927,7903,8900,Study - 13-15,,3090.18650238502
646,"47327,18095",NE RAVENNA BLVD,1583,N,2018/03/26 00:00:00+00,276,372,3546,3331,3500,Study(Normalized),,1078.86798765269
647,"16290,16292,16289,16291,16294,16293,16295",NE 110TH ST,1839,N,1970/01/01 00:00:00+00,,,2000,,2000,Estimate,,2642.94026318651
648,10823,HARBOR AV SW OFF RP,4,N,2015/04/07 00:00:00+00,,,4744,0,4700,Study - 13-15,,804.484355539077
649,"8004,8003,8005,8008,8007,8006",6TH AVE S,369,N,2017/11/09 10:00:00+00,622,614,7726,6257,7700,Study,,1726.77883477007
650,"4916,13801,13799,13800,13802,11191,11192","32ND AVE,E ALDER ST,LAKE DELL AVE",646,N,2017/10/25 10:45:00+00,127,136,1767,1719,1800,Study,,2890.13717707804
651,504367,NE 103RD ST,1823,N,2017/10/17 12:00:00+00,678,930,9908,9760,9900,Study,,663.077721160343
652,16923,NE 50TH ST,1518,N,1970/01/01 00:00:00+00,,,27000,,27000,Estimate,,136.481496539696
653,"6251,6294,6250,6255,163834,6252,6254,6253",4TH AVE S,343,N,2015/06/04 00:00:00+00,,,27972,23389,28000,Study - 13-15,,5208.72072512441
654,"13624,13623",WINONA AVE N,1710,N,1970/01/01 00:00:00+00,,,9000,,9000,Estimate,,590.867523492715
655,"11621,11624,11618,11620,11619,11622,11617,165398,11616,11614,11615,11613,11623,11612",MAGNOLIA BLVD W,1333,N,2017/10/31 10:30:00+00,120,145,1506,1444,1500,Study,,7264.48309373938
656,12419,RAINIER AVE S,119,N,1970/01/01 00:00:00+00,,,21500,,21500,Estimate,,1044.52803562773
657,"8520,489857",9TH AVE,895,Y,1970/01/01 00:00:00+00,,,12500,,12500,Estimate,,425.791060027673
658,"20465,20464,20463",S INDUSTRIAL WAY,340,N,2017/11/09 10:45:00+00,330,383,4297,3773,4300,Study,,1172.77744040106
659,14956,E YESLER WAY,589,N,2015/11/04 00:00:00+00,,,5229,4657,5200,Study - 13-15,,300.131581383972
660,1997,15TH AVE,952,N,2018/05/08 00:00:00+00,287,305,4007,3717,3700,Study(Normalized),,287.456415825167
661,"22590,22589,22591,13061,351095,13058,13059","SW MORGAN ST,SYLVAN WAY SW",204,N,2017/11/02 12:45:00+00,1191,1412,15978,14963,16000,Study,,5011.7559620195
662,7889,6TH AVE,966,Y,1970/01/01 00:00:00+00,,,9000,,9000,Estimate,,425.961205763143
663,11052,JAMES ST,642,Y,2018/06/26 00:00:00+00,954,882,12925,12190,12600,Study(Normalized),,322.172035724134
664,163344,4TH AVE NB OFF RP,510,N,1970/01/01 00:00:00+00,,,1000,,1000,Estimate,,433.163442512626
665,"23389,23390",W GOVERNMENT WAY,1438,N,2018/01/22 12:15:00+00,520,632,6952,7040,7000,Study,,746.601017586857
666,"23224,23223",W DRAVUS ST,1298,N,2018/03/22 00:00:00+00,794,918,10370,10070,10100,Study(Normalized),,661.178353857734
667,"21714,21710,21712,21713,21711,21725,21724",SW ADMIRAL WAY,455,N,2015/02/04 00:00:00+00,,,10521,10379,10500,Study - 13-15,,3872.56365776342
668,"23661,23622","W QUEEN ANNE DRIVEWAY,W OLYMPIC PL",1183,N,2017/11/13 11:30:00+00,53,77,800,755,800,Study,,857.21241710528
669,"14020,14023,14021,14022,14024,14025",E GALER ST,1193,N,2018/04/12 00:00:00+00,266,236,2616,2510,2700,Study(Normalized),,1299.28556522605
670,"1111,1108,1109,1112,1113,1110",1ST AVE NE,1927,N,2015/05/19 00:00:00+00,,,5652,4898,5700,Study - 13-15,,2910.40346192188
671,"4545,4544",3RD AVE W,1184,N,2014/04/21 00:00:00+00,,,7223,6752,7200,Study - 13-15,,777.610371270867
672,13263,VALLEY ST,1991,N,2018/10/20 00:00:00+00,217,604,4527,4380,4500,Study(Normalized),,312.021651494259
673,3985,26TH AV SW ON RP,401,N,2015/09/03 00:00:00+00,,,24079,23820,24100,Study - 13-15,,616.956120668689
674,23357,W GALER ST,1197,N,1970/01/01 00:00:00+00,,,12000,,12000,Estimate,,278.436508604641
675,8521,9TH AVE,937,Y,1970/01/01 00:00:00+00,,,12000,,12000,Estimate,,425.955542864396
676,"1525,1528,1523,1526,1524,1527",12TH AVE,703,N,2015/08/31 00:00:00+00,,,13066,12087,13100,Study - 13-15,,1644.97319656355
677,"18011,18010,18012",NE NORTHGATE WAY,1847,N,1970/01/01 00:00:00+00,,,30000,,30000,Estimate,,1319.40484998337
678,"16700,16701,16699",NE 145TH ST,1918,N,2018/08/28 00:00:00+00,383,549,6023,5576,6000,Study(Normalized),,912.950797336285
679,11589,MADISON ST,763,Y,1970/01/01 00:00:00+00,,,22000,,22000,Estimate,,321.873515931872
680,"12790,12789,12791,12792,19813,19812","SEWARD PARK AVE S,S DAWSON ST",276,N,2017/10/19 11:00:00+00,64,83,860,871,900,Study,,2679.41429452926
681,23569,W MCGRAW ST,1246,N,2018/06/27 00:00:00+00,288,339,3824,3646,3700,Study(Normalized),,332.679955953682
682,6123,4TH AVE,667,Y,1970/01/01 00:00:00+00,,,14000,,14000,Estimate,,305.865204187923
683,10686,GREEN LAKE WAY N,1467,N,1970/01/01 00:00:00+00,,,6500,,6500,Estimate,,304.190174979521
684,12771,SENECA ST,723,Y,1970/01/01 00:00:00+00,,,6000,,6000,Estimate,,321.929923141189
685,12910,STEWART ST,1034,B,1970/01/01 00:00:00+00,,,18800,,18800,Estimate,,104.750720257571
686,"9939,9944,9946,9942,9945,9943,9940,9941",DAYTON AVE N,1889,N,2018/04/11 00:00:00+00,191,214,1735,1593,1800,Study(Normalized),,5296.09729476434
687,2756,2ND AVE,766,Y,2015/08/05 00:00:00+00,,,20059,18924,20100,Study - 13-15,,425.977233222766
